See You Again--Wiz Khalifa;Charlie Puth
権利者情報, , , ,管理状況, , ,演奏,録音,出版,貸与,ビデオ,映画,CM,ゲーム,放送,配信,通カラ,注意
No.,権利者,識別,契約,信託状況,所属団体,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_batsu.png,img/management_icon_batsu.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png, 
1,CEDAR ANDREW, ,作曲作詞, ,演奏M,演:ASCAP 録:NS, , , , , , , , , , , , 
2,CEDAR ANDREW MARTIN, ,作曲作詞, ,演奏M,演:ASCAP 録:NS, , , , , , , , , , , , 
3,FRANKS JUSTIN SCOTT, ,作曲作詞, ,演奏M,演:ASCAP 録:NS, , , , , , , , , , , , 
4,PUTH CHARLIE OTTO JR, ,作曲作詞, ,演奏M,演:BMI 録:NS, , , , , , , , , , , , 
5,CHARLIE PUTH, ,作曲作詞, ,演奏M,演:BMI 録:NS, , , , , , , , , , , , 
6,THOMAZ CAMERON JIBRIL, ,作曲作詞, ,演奏M,演:BMI 録:NS, , , , , , , , , , , , 
7,HARDY JOSHUA KARL SIMON, ,作曲作詞, ,演録M,演:APRA 録:AMCOS, , , , , , , , , , , , 
8,HUME DANN, ,作曲作詞, ,演奏M,演:APRA 録:NS, , , , , , , , , , , , 
9,COCKBURN PHOEBE LOUISE, ,作曲作詞, ,演奏M,演:APRA 録:NS, , , , , , , , , , , , 
10,UNIVERSAL PICTURES MUSIC, ,出版者 , ,演奏M,演:ASCAP 録:NS, , , , , , , , , , , , 
 ,ユニバーサル・ミュージック・パブリッシング　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
 ,シンコーミュージック・エンタテイメント, ,サブ出版, ,全信託,JASRAC,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png, 
11,U P G MUSIC PUBLISHING, ,出版者 , ,演奏M,演:BMI 録:NS, , , , , , , , , , , , 
 ,ユニバーサル・ミュージック・パブリッシング　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
 ,シンコーミュージック・エンタテイメント, ,サブ出版, ,全信託,JASRAC,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png, 
12,WIZ KHALIFA PUBLISHING, ,出版者 , ,演奏M,演:BMI 録:NS, , ,img/management_icon_sharp.png, , , , , , ,img/management_icon_sharp.png, , 
 ,ワーナー・チャペル音楽出版　株式会社　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
13,CHARLIE PUTH MUSIC PUBLISHING, ,出版者 , ,演奏M,演:BMI 録:NS, , ,img/management_icon_sharp.png, , , , , , ,img/management_icon_sharp.png, , 
 ,ワーナー・チャペル音楽出版　株式会社　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
14,J FRANKS PUBLISHING 301, ,出版者 , ,演奏M,演:ASCAP 録:NS, , ,img/management_icon_sharp.png, , , , , , ,img/management_icon_sharp.png, , 
 ,ワーナー・チャペル音楽出版　株式会社　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
15,ANDREW CEDAR PUBLISHING, ,出版者 , ,演奏M,演:ASCAP 録:NS, , ,img/management_icon_sharp.png, , , , , , ,img/management_icon_sharp.png, , 
 ,ワーナー・チャペル音楽出版　株式会社　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
16,W B MUSIC CORP, ,出版者 , ,演録M,演:ASCAP 録:HARRY FOX, , , , , , , , , , , , 
 ,ワーナー・チャペル音楽出版　株式会社　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
 ,ヤマハミュージックパブリッシング, ,サブ出版, ,全信託,JASRAC,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png, 
City of Stars--Ryan Gosling;Emma Stone
権利者情報, , , ,管理状況, , ,演奏,録音,出版,貸与,ビデオ,映画,CM,ゲーム,放送,配信,通カラ,注意
No.,権利者,識別,契約,信託状況,所属団体,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_batsu.png,img/management_icon_batsu.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png, 
1,HURWITZ JUSTIN, ,作曲作詞, ,演奏M,演:BMI 録:NS, , , , , , , , , , , , 
2,PAUL JUSTIN NOBLE, ,作曲作詞, ,演奏M,演:ASCAP 録:NS, , , , , , , , , , , , 
3,PASEK BENJ, ,作曲作詞, ,演奏M,演:ASCAP 録:NS, , , , , , , , , , , , 
4,B LION MUSIC, ,出版者 , ,演奏M,演:BMI 録:NS, , , , , , , , , , , , 
 ,ワーナー・チャペル音楽出版　株式会社　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
 ,ヤマハミュージックパブリッシング, ,サブ出版, ,全信託,JASRAC,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png, 
5,W B MUSIC CORP, ,出版者 , ,演録M,演:ASCAP 録:HARRY FOX, , , , , , , , , , , , 
 ,ワーナー・チャペル音楽出版　株式会社　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
 ,ヤマハミュージックパブリッシング, ,サブ出版, ,全信託,JASRAC,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png, 
6,W B MUSIC CORP, ,出版者 , ,演録M,演:ASCAP 録:HARRY FOX, , , , , , , , , , , , 
 ,ワーナー・チャペル音楽出版　株式会社　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
 ,ヤマハミュージックパブリッシング, ,サブ出版, ,全信託,JASRAC,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png, 
Faded--Alan Walker
権利者情報, , , ,管理状況, , ,演奏,録音,出版,貸与,ビデオ,映画,CM,ゲーム,放送,配信,通カラ,注意
No.,権利者,識別,契約,信託状況,所属団体,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_batsu.png,img/management_icon_batsu.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png, 
1,BORGEN JESPER, ,作曲作詞, ,演録M,演:TONO 録:NCB, , , , , , , , , , , , 
2,FROEEN ANDERS, ,作曲作詞, ,演録M,演:TONO 録:NCB, , , , , , , , , , , , 
3,GREVE GUNNAR, ,作曲作詞, ,演録M,演:TONO 録:NCB, , , , , , , , , , , , 
4,WALKER ALAN, ,作曲作詞, ,演録M,演:TONO 録:NCB, , , , , , , , , , , , 
5,WARNER CHAPPELL MUSIC NORWAY(A)301 /373, ,出版者 , ,演録M,演:TONO 録:NCB, , , , , , , , , , , , 
 ,ワーナー・チャペル音楽出版　株式会社　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
 ,ヤマハミュージックパブリッシング, ,サブ出版, ,全信託,JASRAC,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png, 
6,SONY/ATV MUS PUB ALLEGRO SCANDINAVIA, ,出版者 , ,演録M,演:STIM 録:NCB, , , , , , , , , , , , 
 ,ソニー・ミュージックパブリッシング　Ａ事業部, ,サブ出版, ,部分信託,JASRAC, , , , , ,img/management_icon_sharp.png,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , 
7,UNKNOWN PUBLISHER, ,出版者 , ,無信託,演録:NS,img/management_icon_sharp.png,img/management_icon_sharp.png,img/management_icon_sharp.png,img/management_icon_sharp.png,img/management_icon_sharp.png,img/management_icon_sharp.png,img/management_icon_sharp.png,img/management_icon_sharp.png,img/management_icon_sharp.png,img/management_icon_sharp.png,img/management_icon_sharp.png, 
Hello--Adele
権利者情報, , , ,管理状況, , ,演奏,録音,出版,貸与,ビデオ,映画,CM,ゲーム,放送,配信,通カラ,注意
No.,権利者,識別,契約,信託状況,所属団体,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_batsu.png,img/management_icon_batsu.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png, 
1,KURSTIN GREGORY, ,作曲作詞, ,演奏M,演:ASCAP 録:NS, , , , , , , , , , , , 
2,KURSTIN GREGORY ALLEN, ,作曲作詞, ,演奏M,演:ASCAP 録:NS, , , , , , , , , , , , 
3,ADKINS ADELE, ,作曲作詞, ,演奏M,演:PRS 録:NS, , , , , , , , , , , , 
4,ADKINS ADELE LAURIE BLUE, ,作曲作詞, ,演奏M,演:PRS 録:NS, , , , , , , , , , , , 
5,KURSTIN MUSIC 301, ,出版者 , ,演奏M,演:ASCAP 録:NS, , , , , , , , , , , , 
 ,イーエムアイ音楽出版　株式会社　ソニー事業部, ,サブ出版, ,部分信託,JASRAC, , , , , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
6,MELTED STONE PUBLISHING LTD, ,出版者 , ,無信託,演録:NS, , , , , , , , , , , , 
 ,ユニバーサル・ミュージック・パブリッシング　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
 ,シンコーミュージック・エンタテイメント, ,サブ出版, ,全信託,JASRAC,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png, 
